#time (ps)	NaCl /4M	time (ps)	NaCl /2M
-3.475	-1.79580328571429E-4	-3.475	-1.104445432E-4
-3.45	-2.03956322285714E-4	-3.45	-1.27594308428571E-4
-3.425	-2.08604224571429E-4	-3.425	-1.39718581142857E-4
-3.4	-2.28180109714286E-4	-3.4	-1.741850416E-4
-3.375	-2.28333118E-4	-3.375	-1.30278640528571E-4
-3.35	-2.16326872857143E-4	-3.35	-7.765509308E-5
-3.325	-1.93666566E-4	-3.325	-1.12544578768571E-4
-3.3	-1.36074822E-4	-3.3	-6.65826453085714E-5
-3.275	-7.27290669142857E-5	-3.275	5.43410804285715E-6
-3.25	-2.72110962285714E-5	-3.25	-4.27620875142857E-5
-3.225	5.43535191428571E-6	-3.225	-7.56566694E-5
-3.2	-1.58144490857143E-5	-3.2	-4.84442655428571E-5
-3.175	-1.06198081228571E-4	-3.175	-1.39871417228571E-4
-3.15	-1.76600657314286E-4	-3.15	-1.52146216885714E-4
-3.125	-2.11758450857143E-4	-3.125	-8.35433505428571E-5
-3.1	-1.92097770428571E-4	-3.1	-1.35425033342857E-4
-3.075	-1.54017276771429E-4	-3.075	-1.49767552257143E-4
-3.05	-1.20418364885714E-4	-3.05	-6.27468208857143E-5
-3.025	-1.25388853628571E-4	-3.025	-6.81533998E-5
-3	-1.23085235371429E-4	-3	-8.65764358857143E-5
-2.975	-1.1481914968E-4	-2.975	-5.39969355714286E-5
-2.95	-8.62627539257143E-5	-2.95	-1.22468434285714E-4
-2.925	-8.45702661371429E-5	-2.925	-1.70803951714286E-4
-2.9	-1.29202643742857E-4	-2.9	-1.14632847142857E-4
-2.875	-1.46125013457143E-4	-2.875	-1.10684035142857E-4
-2.85	-1.56539931028571E-4	-2.85	-1.16659582857143E-4
-2.825	-1.23995090942857E-4	-2.825	-7.63887362857143E-5
-2.8	-1.33254969314286E-4	-2.8	-7.1776078E-5
-2.775	-1.88019527857143E-4	-2.775	-1.34596293828571E-4
-2.75	-2.64333935142857E-4	-2.75	-1.36752396628571E-4
-2.725	-2.67161496714286E-4	-2.725	-1.932606224E-4
-2.7	-2.42318334371429E-4	-2.7	-2.93897314571429E-4
-2.675	-1.3640358976E-4	-2.675	-2.30778183428571E-4
-2.65	-6.002961848E-5	-2.65	-1.65306932285714E-4
-2.625	-8.07698803885714E-5	-2.625	-1.57278763428571E-4
-2.6	-1.30373133485714E-4	-2.6	-8.13373314285714E-5
-2.575	-1.51541317571429E-4	-2.575	-8.24397342857143E-5
-2.55	-1.83116285114286E-4	-2.55	-1.83139932285714E-4
-2.525	-2.007030032E-4	-2.525	-1.28918781714286E-4
-2.5	-1.74957107971429E-4	-2.5	-1.34325629142857E-4
-2.475	-1.60199077857143E-4	-2.475	-2.18959645142857E-4
-2.45	-1.82539131285714E-4	-2.45	-1.73325382857143E-4
-2.425	-1.75075861E-4	-2.425	-1.49371213428571E-4
-2.4	-1.70251450571429E-4	-2.4	-1.96771327257143E-4
-2.375	-1.97162367E-4	-2.375	-1.36546001485714E-4
-2.35	-1.99377828714286E-4	-2.35	-6.86327002571428E-5
-2.325	-1.40603539857143E-4	-2.325	-1.189480444E-4
-2.3	-1.23918396257143E-4	-2.3	-7.52229644857143E-5
-2.275	-1.32238000485714E-4	-2.275	1.18118276E-5
-2.25	-1.30985663257143E-4	-2.25	-3.54098284285714E-5
-2.225	-1.47948094714286E-4	-2.225	-5.68701967142857E-5
-2.2	-1.69560192285714E-4	-2.2	-3.89560383714286E-5
-2.175	-1.31806496671429E-4	-2.175	-1.35553396028571E-4
-2.15	-1.14085312617143E-4	-2.15	-1.93917951971429E-4
-2.125	-1.17161997837143E-4	-2.125	-1.490596132E-4
-2.1	-1.41763532617143E-4	-2.1	-1.96306384657143E-4
-2.075	-1.69259239242857E-4	-2.075	-2.34497584257143E-4
-2.05	-1.69125779E-4	-2.05	-1.72560526514286E-4
-2.025	-1.59298641714286E-4	-2.025	-1.86967553571429E-4
-2	-1.12762312714286E-4	-2	-2.06817384E-4
-1.975	-5.331411E-5	-1.975	-1.32240348857143E-4
-1.95	-3.10392697142857E-6	-1.95	-1.62926592285714E-4
-1.925	-2.17283946857143E-5	-1.925	-2.35205696E-4
-1.9	-6.72061132857143E-5	-1.9	-1.89260923142857E-4
-1.875	-1.628881172E-4	-1.875	-2.16636417142857E-4
-1.85	-1.52855413285714E-4	-1.85	-2.69054916285714E-4
-1.825	-9.86417418571429E-5	-1.825	-1.45570337714286E-4
-1.8	1.23517335428572E-5	-1.8	-1.01754247714286E-4
-1.775	4.02217333428571E-5	-1.775	-1.38514742E-4
-1.75	1.63532582571429E-5	-1.75	-7.54299682857142E-5
-1.725	-5.02026206428571E-5	-1.725	-7.41965102857143E-5
-1.7	-7.62296678057143E-5	-1.7	-1.61789923142857E-4
-1.675	-6.979714006E-5	-1.675	-1.20557744142857E-4
-1.65	-9.39342224342857E-5	-1.65	-1.31040318342857E-4
-1.625	-1.56885750928571E-4	-1.625	-2.335080246E-4
-1.6	-2.062575046E-4	-1.6	-2.14269828342857E-4
-1.575	-2.00498311428571E-4	-1.575	-1.61816754142857E-4
-1.55	-1.74785160628571E-4	-1.55	-1.890338556E-4
-1.525	-8.76789118857143E-5	-1.525	-1.106878928E-4
-1.5	-5.29130431714286E-5	-1.5	-5.66083550714286E-5
-1.475	-2.30571625142857E-5	-1.475	-1.6673964304E-4
-1.45	-4.22752074285715E-6	-1.45	-2.42108682991429E-4
-1.425	1.7012726E-6	-1.425	-2.19843819611429E-4
-1.4	-1.83521823428571E-5	-1.4	-3.03360808157143E-4
-1.375	-8.89128290857143E-5	-1.375	-2.33770424628571E-4
-1.35	-1.47263527457143E-4	-1.35	-4.23716504E-5
-1.325	-1.96651004514286E-4	-1.325	-9.67774428571429E-6
-1.3	-2.08857616228571E-4	-1.3	-9.79730057142854E-6
-1.275	-2.05360448171429E-4	-1.275	4.12007466857143E-5
-1.25	-1.40506823285714E-4	-1.25	-4.84861759428571E-5
-1.225	-1.21599930514286E-4	-1.225	-1.04212023314286E-4
-1.2	-1.19216192542857E-4	-1.2	-3.49309305714286E-5
-1.175	-1.25628559942857E-4	-1.175	-6.26889762857143E-5
-1.15	-1.25754083428571E-4	-1.15	-1.11494222857143E-4
-1.125	-1.23764745342857E-4	-1.125	-6.90165348571429E-5
-1.1	-9.93525523142857E-5	-1.1	-9.8597226E-5
-1.075	-9.16698164857143E-5	-1.075	-2.00288311142857E-4
-1.05	-8.80397128571429E-5	-1.05	-1.69554779428571E-4
-1.025	-5.42340118571429E-5	-1.025	-1.50746384285714E-4
-1	-4.47199872857143E-5	-1	-1.50592406857143E-4
-0.975	-6.3834876E-5	-0.975	-1.87512568571429E-5
-0.95	-8.21079153857143E-5	-0.95	1.87525417142857E-5
-0.925	-1.05783984188571E-4	-0.925	-6.81021437142857E-5
-0.9	-1.06418599837143E-4	-0.9	-3.01841814285714E-5
-0.875	-5.86009507314286E-5	-0.875	5.18829914285713E-6
-0.85	-5.39621726142857E-5	-0.85	-5.01659331428571E-5
-0.825	-4.50731349142857E-5	-0.825	3.37675848571429E-5
-0.8	7.7762218285714E-6	-0.8	5.88012142857143E-5
-0.775	7.40592004285714E-5	-0.775	-1.04241321714286E-5
-0.75	1.15127168714286E-4	-0.75	1.60370497714286E-5
-0.725	1.32486538885714E-4	-0.725	9.44870875428571E-5
-0.7	8.02828548285714E-5	-0.7	5.13999142857141E-7
-0.675	4.51597664571429E-5	-0.675	2.02586137142857E-5
-0.65	5.72322944285714E-5	-0.65	3.11947005714286E-5
-0.625	9.41814261714286E-5	-0.625	9.7518062857144E-7
-0.6	1.201935238E-4	-0.6	5.14002343428571E-5
-0.575	1.60975977685714E-4	-0.575	1.45917630285714E-4
-0.55	1.81468841628571E-4	-0.55	1.01453517885714E-4
-0.525	1.983474204E-4	-0.525	1.37922171142857E-4
-0.5	2.19226284714286E-4	-0.5	1.75558695142857E-4
-0.475	2.15772962142857E-4	-0.475	1.40303994285714E-4
-0.45	1.71035873E-4	-0.45	1.94784706057143E-4
-0.425	1.69426939114286E-4	-0.425	2.86922729314286E-4
-0.4	1.62116145914286E-4	-0.4	2.56743776628571E-4
-0.375	1.64326772542857E-4	-0.375	2.19372722428571E-4
-0.35	1.55471039714286E-4	-0.35	2.10811689771429E-4
-0.325	1.41094733142857E-4	-0.325	1.12291589028571E-4
-0.3	1.05611441571429E-4	-0.3	9.80000881142857E-5
-0.275	9.28355652857143E-5	-0.275	1.654946536E-4
-0.25	1.37696639628571E-4	-0.25	1.74482798914286E-4
-0.225	1.99990010885714E-4	-0.225	2.38357252771429E-4
-0.2	2.13399720771429E-4	-0.2	4.01060769028571E-4
-0.175	3.05320527228571E-4	-0.175	5.10166748342857E-4
-0.15	3.99151792257143E-4	-0.15	7.19377119714286E-4
-0.125	5.16523042228571E-4	-0.125	0.0010583611
-0.1	7.62331947857143E-4	-0.1	0.00139729472628571
-0.075	0.00107920086914286	-0.075	0.00175780444571429
-0.05	0.00139835527857143	-0.05	0.00219985255714286
-0.025	0.0016857329	-0.025	0.00242796189428571
0	0.00181888813428571	0	0.00242668817714286
0.025	0.00163599995142857	0.025	0.00226292004285714
0.05	0.00112908119771429	0.05	0.00178986473885714
0.075	3.31698379428571E-4	0.075	0.00104642716588571
0.1	-6.17321397714286E-4	0.1	2.61534921942857E-4
0.125	-0.00164792233085714	0.125	-5.79423338685714E-4
0.15	-0.00257418458	0.15	-0.00143873957885714
0.175	-0.00335621576285714	0.175	-0.00210245818714286
0.2	-0.00393984398285714	0.2	-0.00275386142285714
0.225	-0.00439798436857143	0.225	-0.00339388372571429
0.25	-0.00477349100571429	0.25	-0.00392308804
0.275	-0.00513342209142857	0.275	-0.0043662687
0.3	-0.00552159584857143	0.3	-0.00485772351142857
0.325	-0.00592687863428571	0.325	-0.00514981270857143
0.35	-0.00620053181428571	0.35	-0.00531915614285714
0.375	-0.00635442320285714	0.375	-0.00546644228571428
0.4	-0.00631381052857143	0.4	-0.00536759942571429
0.425	-0.00608757933142857	0.425	-0.00504437394571429
0.45	-0.00570582918857143	0.45	-0.00477248740285714
0.475	-0.00523140283714286	0.475	-0.00442668241428571
0.5	-0.00477386290571429	0.5	-0.00403602143714286
0.525	-0.00436402153714286	0.525	-0.00379701329714286
0.55	-0.00406150863714286	0.55	-0.00356180932285714
0.575	-0.00378904565142857	0.575	-0.00325355842571429
0.6	-0.00352934259428571	0.6	-0.0031395811
0.625	-0.00323064017714286	0.625	-0.00298710058571429
0.65	-0.00301852744571429	0.65	-0.00277169588571429
0.675	-0.00284113967714286	0.675	-0.00262501110285714
0.7	-0.00273335466285714	0.7	-0.00249561487428571
0.725	-0.00265521268285714	0.725	-0.00229265041428571
0.75	-0.00251753653428571	0.75	-0.00225066254571429
0.775	-0.00232105241142857	0.775	-0.00218017488285714
0.8	-0.00219587238	0.8	-0.00203603430857143
0.825	-0.00210435344285714	0.825	-0.00194509252
0.85	-0.00204030797714286	0.85	-0.00188867839428571
0.875	-0.00204325264857143	0.875	-0.00176549140285714
0.9	-0.00199151944571429	0.9	-0.00169578411428571
0.925	-0.00189139519142857	0.925	-0.00169748435714286
0.95	-0.00183240178857143	0.95	-0.00160091010857143
0.975	-0.00169402581428571	0.975	-0.00154541560571429
1	-0.00158181103428571	1	-0.00151078419142857
1.025	-0.00155495686571429	1.025	-0.00136038087857143
1.05	-0.00150629143714286	1.05	-0.00121215993542857
1.075	-0.00144180287714286	1.075	-0.00120297880771429
1.1	-0.00144127910571429	1.1	-0.00110850044971429
1.125	-0.00140902050571429	1.125	-0.00103052262457143
1.15	-0.00133287892571429	1.15	-0.00105902680057143
1.175	-0.00131899804857143	1.175	-0.00100089413085714
1.2	-0.00129316742857143	1.2	-9.63467892E-4
1.225	-0.00119982714714286	1.225	-9.92786795428571E-4
1.25	-0.001121645876	1.25	-9.23362826571429E-4
1.275	-0.00109432410085714	1.275	-8.06292318E-4
1.3	-0.00101100280314286	1.3	-8.15607788857143E-4
1.325	-9.85939181428571E-4	1.325	-8.03214862571428E-4
1.35	-9.80454072857143E-4	1.35	-8.00645587714286E-4
1.375	-9.33087847428571E-4	1.375	-8.88709270571429E-4
1.4	-8.83800356E-4	1.4	-8.70664700285714E-4
1.425	-8.77924244285714E-4	1.425	-7.98800404285714E-4
1.45	-8.63746483714286E-4	1.45	-7.91979130285714E-4
1.475	-8.99357585714286E-4	1.475	-7.65359292857143E-4
1.5	-9.39153820857143E-4	1.5	-6.69685244E-4
1.525	-9.56750336285714E-4	1.525	-6.89080766857143E-4
1.55	-9.51617114E-4	1.55	-7.01917005142857E-4
1.575	-9.17034747142857E-4	1.575	-6.73264026285714E-4
1.6	-8.39737835142857E-4	1.6	-7.17384261714286E-4
1.625	-7.72273506285714E-4	1.625	-7.09905290571429E-4
1.65	-7.04238899714286E-4	1.65	-6.11023707714286E-4
1.675	-6.72669958857143E-4	1.675	-5.68621743142857E-4
1.7	-6.58184883714286E-4	1.7	-5.59437246571429E-4
1.725	-6.72198156571429E-4	1.725	-4.82987258285714E-4
1.75	-6.64453512857143E-4	1.75	-5.44586409142857E-4
1.775	-6.6708642E-4	1.775	-6.04590014571428E-4
1.8	-6.44620671142857E-4	1.8	-5.81297399714286E-4
1.825	-6.20633998571429E-4	1.825	-5.72474573142857E-4
1.85	-5.7998099E-4	1.85	-5.79228773142857E-4
1.875	-5.39222798E-4	1.875	-4.58183775714286E-4
1.9	-5.25059185714286E-4	1.9	-4.09352499428571E-4
1.925	-4.82031635714286E-4	1.925	-4.47142935428571E-4
1.95	-4.63088760285714E-4	1.95	-3.71124098E-4
1.975	-4.35729216E-4	1.975	-3.82465687714286E-4
2	-4.27476382857143E-4	2	-4.47130998285714E-4
2.025	-4.41501274571429E-4	2.025	-4.18435760571428E-4
2.05	-4.96368797142857E-4	2.05	-3.69774563142857E-4
2.075	-5.10952512571429E-4	2.075	-3.99887578857143E-4
2.1	-6.07295127714286E-4	2.1	-3.26754041142857E-4
2.125	-7.19876951142857E-4	2.125	-3.02333911428571E-4
2.15	-7.53921022857143E-4	2.15	-4.01800196285714E-4
2.175	-7.53305156285714E-4	2.175	-4.27065410285714E-4
2.2	-6.22695828991429E-4	2.2	-4.22778793428571E-4
2.225	-4.38555093072E-4	2.225	-4.58618478E-4
2.25	-3.36681223384571E-4	2.25	-4.44526138E-4
2.275	-3.31806657072E-4	2.275	-3.84954628571429E-4
2.3	-2.87714874905714E-4	2.3	-4.09026588571429E-4
2.325	-3.40371356605714E-4	2.325	-3.75406049142857E-4
2.35	-3.43741587217143E-4	2.35	-2.56790138857143E-4
2.375	-3.07426934034286E-4	2.375	-2.53242114857143E-4
2.4	-2.75906283057143E-4	2.4	-2.15726840142857E-4
2.425	-3.35127791428571E-4	2.425	-1.303031148E-4
2.45	-2.97869624428571E-4	2.45	-1.32967261685714E-4
2.475	-2.87707595314286E-4	2.475	-1.56246283942857E-4
2.5	-2.74153712657143E-4	2.5	-9.59968278857143E-5
2.525	-1.60273030171429E-4	2.525	-1.73653865074286E-4
2.55	-7.39585518571429E-5	2.55	-2.40128260851429E-4
2.575	-1.72955742285714E-4	2.575	-2.14369181931429E-4
2.6	-2.71186007428571E-4	2.6	-2.75164434942857E-4
2.625	-3.91515118E-4	2.625	-3.04444635028571E-4
2.65	-4.81667368E-4	2.65	-2.230734652E-4
2.675	-4.59475622285714E-4	2.675	-1.86635399428571E-4
2.7	-3.67563259142857E-4	2.7	-1.68086836857143E-4
2.725	-3.34056792857143E-4	2.725	-8.76246862857143E-5
2.75	-3.04148933714286E-4	2.75	-1.03627508057143E-4
2.775	-2.76346054571429E-4	2.775	-1.63890740171429E-4
2.8	-2.67793989428571E-4	2.8	-1.19439706914286E-4
2.825	-3.08529068571429E-4	2.825	-1.12476595714286E-4
2.85	-3.16163478571429E-4	2.85	-1.52031958285714E-4
2.875	-3.42944977714286E-4	2.875	-7.6143684E-5
2.9	-3.28314702714286E-4	2.9	-4.96173031428571E-5
2.925	-2.43743273914286E-4	2.925	-8.16650822857143E-5
2.95	-1.69470461057143E-4	2.95	-3.03817008571429E-5
2.975	-1.27959507285714E-4	2.975	-2.14064238571429E-5
3	-8.02901259142857E-5	3	-1.18092442114286E-4
3.025	-9.57676903028571E-5	3.025	-1.13701482628571E-4
3.05	-1.80783929108571E-4	3.05	-1.37668982171429E-4
3.075	-1.93379720874286E-4	3.075	-2.36187217028571E-4
3.1	-1.91416408742857E-4	3.1	-2.21820380628571E-4
3.125	-2.05939606714286E-4	3.125	-1.68208749714286E-4
3.15	-1.90245728285714E-4	3.15	-1.89174800514286E-4
3.175	-1.46947876714286E-4	3.175	-1.65259239828571E-4
3.2	-1.71638577714286E-4	3.2	-9.92276715714286E-5
3.225	-1.76038348857143E-4	3.225	-1.92199447028571E-4
3.25	-1.36998964571429E-4	3.25	-2.05374709057143E-4
3.275	-1.16954052171429E-4	3.275	-1.83434917571429E-4
3.3	-1.183943008E-4	3.3	-2.68145289571429E-4
3.325	-6.98200501714286E-5	3.325	-2.97972147857143E-4
3.35	-6.33967828571429E-5	3.35	-1.79902297942857E-4
3.375	-1.03023288E-4	3.375	-1.434118094E-4
3.4	-9.66000174285714E-5	3.4	-4.76615636571428E-5
3.425	-1.10988006742857E-4	3.425	7.34604227142857E-5
3.45	-1.59604731371429E-4	3.45	4.48559302857143E-5
3.475	-9.52315924571429E-5	3.475	-1.14170902857143E-5
3.5	-4.07722562857143E-5	3.5	-1.75483236857143E-5
3.525	-2.36457017714286E-5	3.525	-1.05491630171429E-4
3.55	5.34931212571428E-5	3.55	-1.46853361028571E-4
3.575	8.77630605142857E-5	3.575	-1.08426828914286E-4
3.6	1.86320814285714E-5	3.6	-1.24613844114286E-4
3.625	-5.68892125714286E-5	3.625	-9.92576673714286E-5
3.65	-1.17239169714286E-4	3.65	1.02624365428571E-5
3.675	-2.43824301142857E-4	3.675	1.70815097714286E-5
3.7	-2.46326015142857E-4	3.7	-5.53797901714286E-5
3.725	-2.26329588E-4	3.725	-3.9907914E-5
3.75	-1.60774174285714E-4	3.75	-7.88143217142857E-5
3.775	-1.06300066428571E-4	3.775	-1.91442487885714E-4
3.8	-4.90212257714286E-5	3.8	-1.96690432371429E-4
3.825	-9.78613368857143E-5	3.825	-2.20971026685714E-4
3.85	-1.387144072E-4	3.85	-3.22219270257143E-4
3.875	-1.7250078E-4	3.875	-2.82820050514286E-4
3.9	-2.04622939714286E-4	3.9	-1.98422392428571E-4
3.925	-1.57033076428571E-4	3.925	-1.91343152E-4
3.95	-7.83306801428571E-5	3.95	-7.02843948571428E-5
3.975	-4.38632907142857E-5	3.975	4.07079997142857E-5
4	-6.02548112857143E-5	4	6.6379176E-5
4.025	-1.87091357142857E-5	4.025	1.44115156057143E-4
4.05	-1.90084721428571E-5	4.05	2.29357865028571E-4
4.075	4.93647471428571E-6	4.075	1.89800287342857E-4
4.1	9.57324217142857E-5	4.1	1.99251075714286E-4
4.125	1.48816497E-4	4.125	2.25565926428571E-4
4.15	2.03604747485714E-4	4.15	1.54533340857143E-4
4.175	2.53482641171429E-4	4.175	1.43662322714286E-4
4.2	2.38651880057143E-4	4.2	1.97302622857143E-4
4.225	1.37578141428571E-4	4.225	9.26937771428571E-5
4.25	4.84164931428571E-5	4.25	-1.69848585714285E-5
4.275	-9.76954148571429E-5	4.275	-6.28019498571428E-5
4.3	-2.46587504E-4	4.3	-2.02954177485714E-4
4.325	-3.30515178285714E-4	4.325	-2.91678776885714E-4
4.35	-4.14729317714286E-4	4.35	-2.46136812171429E-4
4.375	-4.36861533142857E-4	4.375	-2.95103427468571E-4
4.4	-3.66763069714286E-4	4.4	-3.37145442777143E-4
4.425	-2.359708714E-4	4.425	-2.59867994468571E-4
4.45	-1.76574840114286E-4	4.45	-1.845875318E-4
4.475	-1.03057660571429E-4	4.475	-1.23674233457143E-4
4.5	-6.65223598571428E-5	4.5	2.46002828285714E-5
4.525	-1.13943866342857E-4	4.525	7.86797008857143E-5
4.55	-1.33725452357143E-4	4.55	8.20498528571429E-6
4.575	-1.10805581265714E-4	4.575	1.16589324285714E-5
4.6	-1.32598886962857E-4	4.6	5.37996000000016E-7
4.625	-1.23176709505714E-4	4.625	-1.76740551428571E-5
4.65	-3.28637496657143E-5	4.65	5.3462842E-5
4.675	-8.29521529999999E-6	4.675	9.01769875714286E-5
4.7	2.72362064E-5	4.7	-6.00174051428571E-6
4.725	3.02009894571429E-5	4.725	-2.76704901142857E-5
4.75	-1.00900005428571E-5	4.75	-7.41776284E-5
4.775	-2.87655366857143E-5	4.775	-1.25333657085714E-4
4.8	-7.15868125714286E-6	4.8	-1.28920378742857E-4
4.825	2.24111064571428E-5	4.825	-1.22984477E-4
4.85	4.95899120285714E-5	4.85	-1.76349173142857E-4
4.875	7.99655244E-5	4.875	-1.81182763142857E-4
4.9	1.71621268E-5	4.9	-1.17427967657143E-4
4.925	-2.80269724857143E-5	4.925	-1.00592026685714E-4
4.95	-3.91024356285714E-5	4.95	-3.14062733714285E-5
4.975	-5.96353048857143E-5	4.975	2.87903662857143E-5
5	-7.50130249142857E-5	5	-3.98589297142855E-6
5.025	-7.70468111428572E-6	5.025	-1.16754412E-5
5.05	2.03078180857143E-5	5.05	6.52256564571429E-5
5.075	9.28475662857142E-6	5.075	7.03161428571421E-7
5.1	2.62036846571429E-5	5.1	-1.27074599999999E-6
5.125	6.734242E-6	5.125	2.00621474285714E-5
5.15	-3.48646328571428E-6	5.15	-6.49201198857143E-5
5.175	4.19578751428572E-6	5.175	-8.36267240857143E-5
5.2	4.77830753142857E-5	5.2	-3.28495244571428E-5
5.225	2.23809756857143E-5	5.225	-1.10119205171429E-4
5.25	5.24056045142857E-5	5.25	-1.18955115942857E-4
5.275	7.6505029E-5	5.275	-5.95085743714286E-5
5.3	5.44345742857143E-5	5.3	-7.76276536E-5
5.325	3.41218265714286E-5	5.325	-6.57530006285714E-5
5.35	2.27445259428571E-5	5.35	-1.94408660571429E-5
5.375	-6.46235077714286E-5	5.375	-5.172286208E-5
5.4	-8.88580077142857E-5	5.4	-8.00044382971429E-5
5.425	-4.34383456571428E-5	5.425	-2.06116038514286E-5
5.45	-4.03830544571429E-5	5.45	5.63354542857134E-7
5.475	-1.77224369142857E-5	5.475	3.21438964571428E-5
5.5	5.04027783428571E-5	5.5	6.46062900857143E-5
5.525	4.03120938857143E-5	5.525	8.03340063428571E-5
5.55	-1.96346710857143E-5	5.55	2.83417175142857E-5
5.575	-4.81858307142857E-5	5.575	2.60538997428571E-5
5.6	-1.18227116685714E-4	5.6	1.10882668857143E-5
5.625	-1.72548629485714E-4	5.625	-1.65010291714286E-5
5.65	-1.21020069828571E-4	5.65	6.07778254285713E-6
5.675	-7.73913427142857E-5	5.675	1.43775123142857E-5
5.7	-8.39064251428571E-5	5.7	-2.35976264285714E-5
5.725	-5.04145954285714E-5	5.725	8.8633877142857E-6
5.75	-4.999572E-5	5.75	6.51894017142857E-5
5.775	-2.36756892857143E-5	5.775	1.27760417142857E-5
5.8	3.10322272857143E-5	5.8	5.52573588571429E-5
5.825	8.39847460571428E-5	5.825	7.91335211428571E-5
5.85	4.59791474571429E-5	5.85	-5.90452999999999E-6
5.875	2.78241740571428E-5	5.875	1.93302402857143E-5
5.9	-3.59943047142857E-5	5.9	1.04883075714286E-4
5.925	-8.06017982857143E-5	5.925	3.74255497142857E-5
5.95	-4.74592032E-5	5.95	2.69583855714286E-5
5.975	4.28299006857143E-5	5.975	4.74845435714286E-5
6	6.74011905142857E-5	6	-1.12438969428571E-5
6.025	6.82815654285714E-5	6.025	8.69438321714286E-6
6.05	3.26688335714286E-5	6.05	1.29501862622857E-4
6.075	-6.80299505142857E-5	6.075	1.1910944356E-4
6.1	-1.15417818971429E-4	6.1	1.02300002457143E-4
6.125	-9.57209001142857E-5	6.125	7.68801669714286E-5
6.15	-9.02617999428571E-5	6.15	-2.11096439999999E-6
6.175	-8.30995713142857E-5	6.175	-6.47602861142857E-5
6.2	-1.23236755142857E-5	6.2	1.03377262285714E-5
